,Ward Precinct ,JOHN R CONNOLLY,MARTY J WALSH,LEE BUCKLEY (WRITE-IN),DAVID JAMES WYATT (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,TWO OR MORE RACES,BIPOC,HISPANIC,ASIAN,OTHER
40,501.0,1000.0,595.0,0.0,0.0,4.0,1599.0,23.0,1622.0,4416.0,4783.0,6323.0,0.615,0.023,0.0,0.028,0.385,0.056,0.324,0.011
41,502.0,147.0,97.0,0.0,0.0,0.0,244.0,1.0,245.0,1307.0,3745.0,4959.0,1.481,0.083,0.003,0.013,0.262,0.15,0.3239999999999999,0.082
42,503.0,622.0,95.0,0.0,0.0,0.0,717.0,0.0,717.0,1703.0,2101.0,2541.0,0.95,0.007,0.0,0.016,0.05,0.01,0.027,0.0
43,504.0,539.0,148.0,0.0,0.0,0.0,687.0,0.0,687.0,2219.0,1876.0,2197.0,0.851,0.025,0.0,0.016,0.149,0.077,0.094,0.013
44,505.0,289.0,36.0,0.0,0.0,0.0,325.0,2.0,327.0,660.0,848.0,1054.0,0.95,0.009,0.0,0.009,0.05,0.009,0.032,0.0
45,506.0,541.0,82.0,0.0,0.0,0.0,623.0,7.0,630.0,1753.0,2190.0,2610.0,0.92,0.01,0.0,0.009,0.079,0.069,0.055,0.006
46,507.0,636.0,113.0,0.0,0.0,3.0,752.0,1.0,753.0,2185.0,2172.0,2587.0,0.919,0.009,0.0,0.009,0.081,0.07,0.056,0.006
47,508.0,552.0,103.0,0.0,0.0,1.0,656.0,2.0,658.0,1974.0,2442.0,2845.0,0.863,0.015,0.0,0.021,0.137,0.089,0.087,0.014
48,509.0,582.0,128.0,0.0,0.0,3.0,713.0,3.0,716.0,2854.0,3523.0,4156.0,0.82,0.02,0.0,0.032,0.179,0.093,0.111,0.016
49,510.0,272.0,135.0,0.0,1.0,4.0,412.0,9.0,421.0,2180.0,4351.0,5345.0,0.687,0.038,0.001,0.057,0.313,0.114,0.184,0.033
50,511.0,421.0,91.0,0.0,0.0,0.0,512.0,4.0,516.0,1200.0,1718.0,2064.0,0.894,0.018,0.0,0.013,0.106,0.047,0.067,0.008
51,601.0,590.0,529.0,0.0,0.0,4.0,1123.0,5.0,1128.0,3411.0,3906.0,4902.0,0.725,0.095,0.001,0.034,0.275,0.111,0.08,0.065
52,602.0,171.0,267.0,0.0,0.0,2.0,440.0,3.0,443.0,1206.0,1822.0,2629.0,0.572,0.156,0.01,0.059,0.428,0.205,0.065,0.137
53,603.0,235.0,354.0,0.0,0.0,2.0,591.0,2.0,593.0,1617.0,1354.0,1523.0,0.871,0.001,0.017,0.045,0.128,0.037,0.038,0.028
54,604.0,275.0,358.0,0.0,0.0,2.0,635.0,1.0,636.0,1667.0,1888.0,2132.0,0.928,0.013,0.003,0.01,0.073,0.036,0.026,0.02
55,605.0,293.0,366.0,0.0,0.0,2.0,661.0,0.0,661.0,1537.0,1783.0,2055.0,0.941,0.009,0.0,0.004,0.059,0.037,0.024,0.021
56,606.0,294.0,502.0,0.0,0.0,1.0,797.0,3.0,800.0,1491.0,1497.0,1696.0,0.98,0.001,0.0,0.005,0.019,0.017,0.005,0.009
57,607.0,273.0,404.0,0.0,0.0,2.0,679.0,1.0,680.0,1469.0,1999.0,2308.0,0.941,0.01,0.0,0.005,0.058,0.035,0.025,0.019
58,608.0,255.0,438.0,0.0,0.0,4.0,697.0,5.0,702.0,1494.0,1450.0,1713.0,0.951,0.004,0.0,0.009,0.049,0.013,0.031,0.005
59,609.0,236.0,489.0,0.0,0.0,3.0,728.0,4.0,732.0,1450.0,1928.0,2226.0,0.95,0.012,0.0,0.005,0.05,0.026,0.021,0.012
60,701.0,205.0,446.0,0.0,0.0,3.0,654.0,0.0,654.0,1273.0,1902.0,2218.0,0.954,0.005,0.0,0.009,0.046,0.014,0.027,0.005
61,702.0,265.0,486.0,0.0,0.0,0.0,751.0,2.0,753.0,1704.0,1670.0,1828.0,0.96,0.017,0.0,0.002,0.039,0.028,0.01,0.011
62,703.0,327.0,596.0,0.0,0.0,3.0,926.0,8.0,934.0,1968.0,2560.0,2756.0,0.951,0.025,0.0,0.0,0.049,0.032,0.012,0.013
63,704.0,297.0,397.0,0.0,0.0,2.0,696.0,2.0,698.0,1708.0,1632.0,2086.0,0.757,0.065,0.004,0.032,0.244,0.166,0.054,0.089
