,Ward_Precinct,TITO JACKSON,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
135,1502.0,77.0,114.0,0.0,1.0,192.0,3.0,195.0,1083.0,891.0,1592.2411098078296,0.066,0.666,0.006,0.04,0.168
136,1503.0,40.0,79.0,1.0,1.0,121.0,0.0,121.0,726.0,693.0,1184.8052244704404,0.112,0.555,0.005,0.133,0.153
137,1504.0,144.0,250.0,0.0,2.0,396.0,4.0,400.0,1980.0,1930.0,3300.9697704537334,0.197,0.483,0.0,0.113,0.149
138,1505.0,112.0,174.0,0.0,1.0,287.0,4.0,291.0,1329.0,1326.0,2211.165407302975,0.144,0.643,0.005,0.104,0.073
139,1506.0,49.0,195.0,0.0,1.0,245.0,5.0,250.0,780.0,915.0,1342.2989547360403,0.334,0.29,0.001,0.297,0.067
140,1507.0,114.0,147.0,0.0,0.0,261.0,1.0,262.0,1082.0,810.0,1505.3334275278762,0.103,0.62,0.003,0.126,0.106
141,1508.0,83.0,163.0,0.0,1.0,247.0,2.0,249.0,978.0,1083.0,1674.4988186009082,0.197,0.551,0.005,0.164,0.062
142,1509.0,109.0,154.0,0.0,1.0,264.0,2.0,266.0,1032.0,1246.0,2155.8633991454435,0.149,0.527,0.002,0.196,0.096
143,1601.0,108.0,178.0,0.0,3.0,289.0,1.0,290.0,1142.0,1145.0,1642.8543125510694,0.293,0.311,0.002,0.293,0.079
144,1602.0,49.0,250.0,0.0,1.0,300.0,3.0,303.0,872.0,2887.0,4102.93551697797,0.343,0.205,0.003,0.363,0.078
145,1603.0,153.0,235.0,0.0,0.0,388.0,0.0,388.0,1462.0,1181.0,1827.304348598728,0.266,0.542,0.0,0.112,0.047
146,1604.0,106.0,253.0,0.0,2.0,361.0,1.0,362.0,1293.0,1093.0,1556.6163706524808,0.366,0.289,0.001,0.219,0.068
147,1605.0,82.0,328.0,0.0,4.0,414.0,3.0,417.0,1408.0,1390.0,1989.4028051743824,0.341,0.253,0.002,0.294,0.076
148,1606.0,190.0,333.0,0.0,0.0,523.0,3.0,526.0,1827.0,1556.0,2168.228168290588,0.436,0.317,0.0,0.12,0.051
149,1607.0,79.0,469.0,0.0,5.0,553.0,3.0,556.0,1239.0,2035.0,2863.6934626005877,0.412,0.324,0.0,0.126,0.057
150,1608.0,105.0,485.0,0.0,2.0,592.0,4.0,596.0,1409.0,841.0,1093.0603112153117,0.622,0.244,0.0,0.088,0.013
151,1609.0,63.0,585.0,0.0,8.0,656.0,14.0,670.0,1498.0,896.0,1164.1488259958612,0.904,0.026,0.0,0.052,0.002
152,1610.0,52.0,380.0,0.0,3.0,435.0,7.0,442.0,1341.0,1107.0,1365.41624215168,0.824,0.07,0.0,0.081,0.005
153,1611.0,97.0,491.0,0.0,5.0,593.0,10.0,603.0,1466.0,1963.0,2550.0279172231567,0.648,0.224,0.0,0.085,0.012
154,1612.0,34.0,653.0,0.0,3.0,690.0,8.0,698.0,1192.0,1789.0,2325.846199534423,0.904,0.025,0.0,0.052,0.002
155,1701.0,130.0,135.0,0.0,0.0,265.0,1.0,266.0,1209.0,1408.0,2308.3605266654663,0.147,0.735,0.004,0.029,0.055
156,1702.0,95.0,111.0,0.0,2.0,208.0,1.0,209.0,826.0,1003.0,1575.7236846452554,0.172,0.632,0.006,0.11,0.056
157,1703.0,247.0,288.0,0.0,1.0,536.0,2.0,538.0,1821.0,1977.0,3129.034371888787,0.182,0.657,0.004,0.078,0.056
158,1704.0,229.0,399.0,0.0,1.0,629.0,8.0,637.0,1827.0,2487.0,3821.404384612846,0.235,0.556,0.006,0.083,0.07
159,1705.0,100.0,96.0,0.0,0.0,196.0,0.0,196.0,877.0,996.0,1605.4675183111272,0.209,0.657,0.002,0.061,0.042
160,1706.0,188.0,192.0,0.0,0.0,380.0,4.0,384.0,1336.0,1169.0,1719.8940950508008,0.277,0.463,0.0,0.163,0.062
161,1707.0,94.0,91.0,0.0,1.0,186.0,1.0,187.0,728.0,1100.0,1745.0156318935667,0.05,0.833,0.0,0.026,0.027
162,1708.0,166.0,159.0,1.0,1.0,327.0,1.0,328.0,1210.0,1608.0,2537.711948808655,0.255,0.575,0.0,0.088,0.045
163,1709.0,148.0,193.0,0.0,0.0,341.0,4.0,345.0,904.0,1157.0,1824.263370777512,0.254,0.574,0.0,0.088,0.047
164,1710.0,206.0,224.0,2.0,0.0,432.0,0.0,432.0,1672.0,1770.0,2794.479089769663,0.099,0.758,0.0,0.042,0.039
165,1711.0,92.0,76.0,0.0,1.0,169.0,2.0,171.0,633.0,632.0,986.9357665298973,0.229,0.562,0.001,0.082,0.071
166,1712.0,121.0,202.0,0.0,0.0,323.0,1.0,324.0,929.0,955.0,1455.5858823175054,0.161,0.671,0.01,0.059,0.049
167,1713.0,133.0,376.0,0.0,5.0,514.0,4.0,518.0,1251.0,1968.0,2610.7638132541024,0.54,0.31,0.006,0.088,0.025
168,1714.0,178.0,298.0,0.0,1.0,477.0,6.0,483.0,1300.0,1241.0,1771.9930425405018,0.265,0.531,0.027,0.086,0.064
169,1801.0,252.0,351.0,0.0,4.0,607.0,4.0,611.0,2168.0,2882.0,4433.767931713371,0.122,0.764,0.007,0.042,0.039
170,1802.0,152.0,227.0,0.0,2.0,381.0,1.0,382.0,1456.0,1706.0,3033.186442080201,0.072,0.857,0.0,0.017,0.028
171,1803.0,257.0,228.0,1.0,0.0,486.0,0.0,486.0,1721.0,1902.0,3439.6337635968266,0.062,0.876,0.0,0.004,0.018
172,1804.0,193.0,250.0,0.0,0.0,443.0,2.0,445.0,1753.0,1901.0,3048.4444048853984,0.066,0.856,0.0,0.016,0.021
173,1805.0,236.0,308.0,0.0,0.0,544.0,1.0,545.0,1728.0,1395.0,2193.596050371483,0.119,0.737,0.006,0.004,0.095
174,1806.0,288.0,310.0,0.0,0.0,598.0,1.0,599.0,1935.0,1577.0,2479.946384705355,0.119,0.737,0.006,0.004,0.095
175,1807.0,170.0,278.0,0.0,2.0,450.0,1.0,451.0,1494.0,2229.0,3334.141980897061,0.374,0.456,0.006,0.013,0.105
176,1808.0,269.0,418.0,1.0,2.0,690.0,2.0,692.0,2617.0,3475.0,5449.2961570295765,0.156,0.682,0.005,0.005,0.108
177,1809.0,165.0,328.0,0.0,3.0,496.0,3.0,499.0,1472.0,1844.0,2503.7730854659767,0.545,0.313,0.001,0.015,0.065
178,1810.0,276.0,465.0,0.0,6.0,747.0,4.0,751.0,2081.0,2299.0,3200.884083235852,0.633,0.188,0.009,0.029,0.083
179,1811.0,126.0,220.0,0.0,2.0,348.0,2.0,350.0,1418.0,1597.0,2513.737534171609,0.331,0.529,0.0,0.021,0.075
180,1812.0,135.0,330.0,0.0,7.0,472.0,8.0,480.0,1530.0,1845.0,2558.652843971231,0.483,0.386,0.007,0.0,0.057
181,1813.0,92.0,157.0,0.0,0.0,249.0,1.0,250.0,916.0,1060.0,1615.9768213122768,0.233,0.551,0.0,0.005,0.152
