,Ward_Precinct,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,HISPANIC,BIPOC,TWO OR MORE RACES,OTHER
118,1309.0,236,27,179,200,48,67,227,31,3,1018,594,403,1323.0,1587.0,2268.0,0.436,0.243,0.002,0.168,0.157,0.563,0.075,0.075
119,1310.0,443,52,399,393,58,87,513,46,8,1999,1077,769,1643.0,1784.0,2532.0,0.503,0.152,0.004,0.236,0.14,0.497,0.031,0.073
120,1401.0,172,16,128,243,105,86,121,61,5,937,859,449,2544.0,2699.0,4807.0,0.132,0.641,0.001,0.004,0.336,0.868,0.066,0.156
121,1402.0,198,18,182,390,87,139,105,64,17,1200,1168,592,2539.0,2850.0,4859.0,0.119,0.718,0.004,0.007,0.337,0.881,0.038,0.114
122,1403.0,118,11,91,162,62,66,86,47,3,646,474,280,1270.0,1249.0,2220.0,0.085,0.651,0.0,0.014,0.352,0.915,0.082,0.168
123,1404.0,102,7,89,178,75,52,85,45,2,635,561,299,1523.0,1716.0,2872.0,0.146,0.701,0.0,0.002,0.323,0.854,0.075,0.077
124,1405.0,113,12,102,171,17,48,54,24,5,546,418,241,1074.0,1064.0,1979.0,0.082,0.861,0.0,0.008,0.158,0.918,0.024,0.025
125,1406.0,119,19,94,176,35,65,65,40,4,617,471,272,1069.0,1094.0,1896.0,0.073,0.658,0.0,0.017,0.351,0.927,0.052,0.2
126,1407.0,90,11,75,151,30,59,53,28,2,499,441,235,1166.0,1360.0,2402.0,0.117,0.744,0.009,0.007,0.36,0.883,0.01,0.112
127,1408.0,127,9,104,222,35,67,74,40,6,684,640,331,1142.0,1166.0,1807.0,0.049,0.852,0.0,0.001,0.161,0.951,0.053,0.045
128,1409.0,61,5,59,136,18,34,43,41,1,398,510,227,1283.0,1300.0,2286.0,0.116,0.747,0.009,0.007,0.353,0.884,0.013,0.107
129,1410.0,116,7,104,195,35,74,70,45,2,648,624,318,1319.0,2165.0,3587.0,0.103,0.792,0.003,0.013,0.247,0.897,0.051,0.039
130,1411.0,128,13,111,193,53,81,93,58,0,730,322,263,1158.0,1504.0,2483.0,0.097,0.795,0.003,0.012,0.245,0.903,0.054,0.04
131,1412.0,100,6,83,134,23,58,65,35,0,504,268,193,724.0,765.0,1258.0,0.104,0.804,0.002,0.012,0.223,0.896,0.043,0.034
132,1413.0,110,14,106,168,31,65,76,32,0,602,550,288,1098.0,1147.0,1861.0,0.108,0.835,0.0,0.011,0.162,0.891,0.022,0.023
133,1414.0,133,11,101,187,34,64,68,39,1,638,614,313,1226.0,1504.0,2479.0,0.035,0.875,0.0,0.002,0.155,0.965,0.048,0.04
134,1501.0,104,7,73,145,93,67,76,37,4,606,518,281,1585.0,1784.0,3042.0,0.125,0.577,0.003,0.026,0.286,0.875,0.06,0.208
135,1502.0,60,8,69,107,30,43,52,17,3,389,391,195,1083.0,891.0,1592.0,0.066,0.666,0.006,0.04,0.22,0.935,0.055,0.168
136,1503.0,53,3,46,65,30,24,46,9,4,280,204,121,726.0,693.0,1185.0,0.112,0.555,0.005,0.133,0.208,0.887,0.041,0.153
137,1504.0,147,13,119,181,91,80,111,37,3,782,818,400,1980.0,1930.0,3301.0,0.197,0.483,0.0,0.113,0.238,0.803,0.057,0.149
138,1505.0,102,10,104,166,87,41,79,21,4,614,550,291,1329.0,1326.0,2211.0,0.144,0.643,0.005,0.104,0.201,0.857,0.031,0.073
139,1506.0,95,12,122,91,18,41,101,24,1,505,495,250,780.0,915.0,1342.0,0.334,0.29,0.001,0.297,0.113,0.665,0.01,0.067
140,1507.0,115,15,89,135,80,60,90,27,1,612,436,262,1082.0,810.0,1505.0,0.103,0.62,0.003,0.126,0.179,0.898,0.043,0.106
