,NEIGHBORHOOD,YEAR,BALLOTS_CAST,REGISTERED_VOTERS,TOTAL,Ballots Cast / Total,Ballots Cast / Registered Voters,Registered Voter %
119,Downtown,2019,1117.2438357331928,9421.73856962029,11556.869883184885,0.09667356706669943,0.11858149400745041,0.8152500343824769
120,Fenway,2019,1399.0524589138827,11666.340589544418,35428.18747891087,0.039489811883452644,0.1199221339524185,0.32929544014886375
121,Brighton,2019,5034.325097641924,28199.981311948464,42204.900025848074,0.1192829527983407,0.17852228488920513,0.6681684187067757
122,West Roxbury,2019,5132.616654064711,22343.92082062351,24111.631767558087,0.21286890508051742,0.22970975842911553,0.926686382573534
123,Hyde Park,2019,4783.325657271705,23006.015065034215,24582.101723138494,0.194585707566627,0.20791630552922924,0.935884788214803
124,Mattapan,2019,2281.6197149519603,15048.98330588361,16911.758477656123,0.13491321543921317,0.15161288098844053,0.8898532536262496
125,Dorchester,2019,10879.439200768345,73202.8677793583,85454.02647499317,0.12731335958700613,0.14862039604186275,0.8566345062836802
126,South Boston Waterfront,2019,524.4138685283199,6028.861486076967,4302.794409299427,0.12187750997234005,0.08698389733109636,1.4011502555286102
127,South Boston,2019,4081.0652486998997,27631.654907998924,27501.191678135827,0.14839594212728077,0.1476952886929149,1.0047439118780739
128,Allston,2019,1538.5570978623336,12205.079986783252,25647.84362235987,0.059987775990688545,0.12605874763036543,0.47587158462486984
129,Harbor Islands,2019,0.0,1.986541420612903,526.4334764624193,0.0,0.0,0.0037735849056603774
