,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
34,1002,2183.0,1168.0,117.0,87.0,87.0,297.0,164.0,56.0,36.0,20.0,18.0,44.0,19.0,21.0,27.0,0.0,0.0,1015.0,27.0,17.0,33.0,26.0,86.0
35,1001,1053.0,538.0,104.0,48.0,42.0,102.0,48.0,16.0,17.0,9.0,5.0,23.0,8.0,12.0,8.0,0.0,0.0,514.0,13.0,16.0,14.0,19.0,71.0
36,0904,4191.0,2007.0,399.0,219.0,120.0,143.0,126.0,68.0,70.0,61.0,57.0,114.0,50.0,26.0,29.0,2.0,0.0,2182.0,104.0,82.0,105.0,67.0,457.0
37,0903,4714.0,2368.0,73.0,71.0,116.0,217.0,315.0,242.0,133.0,148.0,98.0,123.0,167.0,23.0,37.0,12.0,17.0,2345.0,156.0,63.0,161.0,117.0,73.0
38,0804,1382.0,610.0,2.0,12.0,0.0,25.0,53.0,44.0,34.0,57.0,24.0,47.0,24.0,18.0,21.0,1.0,0.0,772.0,50.0,57.0,46.0,28.0,8.0
39,0806,2022.0,1158.0,36.0,27.0,32.0,100.0,110.0,114.0,98.0,105.0,133.0,51.0,36.0,21.0,16.0,5.0,2.0,863.0,66.0,53.0,47.0,32.0,27.0
40,0709,1561.0,887.0,10.0,2.0,5.0,90.0,149.0,81.0,86.0,60.0,52.0,67.0,56.0,30.0,8.0,0.0,7.0,673.0,50.0,40.0,25.0,14.0,17.0
41,0710,2649.0,1320.0,26.0,7.0,48.0,73.0,126.0,116.0,163.0,80.0,62.0,45.0,76.0,27.0,22.0,0.0,2.0,1330.0,119.0,88.0,60.0,31.0,54.0
42,0807,896.0,471.0,12.0,9.0,10.0,35.0,45.0,41.0,38.0,40.0,49.0,18.0,19.0,9.0,7.0,3.0,1.0,423.0,31.0,26.0,22.0,17.0,11.0
43,1006,2506.0,1247.0,27.0,35.0,22.0,111.0,158.0,84.0,115.0,37.0,30.0,53.0,47.0,16.0,14.0,8.0,13.0,1258.0,52.0,84.0,18.0,64.0,35.0
44,1003,2288.0,1222.0,19.0,72.0,90.0,346.0,216.0,71.0,49.0,37.0,29.0,41.0,28.0,18.0,35.0,2.0,2.0,1066.0,30.0,32.0,40.0,16.0,22.0
45,1101,1952.0,1000.0,31.0,17.0,76.0,174.0,108.0,50.0,59.0,54.0,31.0,46.0,61.0,26.0,18.0,13.0,5.0,951.0,34.0,40.0,48.0,36.0,35.0
46,1007,2307.0,1137.0,18.0,18.0,25.0,102.0,114.0,132.0,71.0,67.0,81.0,49.0,40.0,13.0,16.0,10.0,2.0,1169.0,54.0,69.0,51.0,47.0,20.0
47,1209,1890.0,845.0,38.0,15.0,20.0,34.0,61.0,40.0,35.0,35.0,38.0,37.0,42.0,20.0,6.0,9.0,16.0,1045.0,49.0,79.0,36.0,39.0,14.0
48,1103,1535.0,766.0,27.0,13.0,24.0,65.0,117.0,52.0,20.0,44.0,28.0,34.0,74.0,16.0,20.0,6.0,0.0,769.0,22.0,29.0,47.0,38.0,20.0
49,1105,1946.0,1010.0,39.0,25.0,37.0,70.0,147.0,64.0,78.0,74.0,47.0,54.0,47.0,35.0,18.0,16.0,4.0,935.0,29.0,36.0,40.0,38.0,22.0
50,1106,1964.0,1089.0,23.0,27.0,21.0,47.0,165.0,96.0,119.0,81.0,60.0,77.0,56.0,26.0,11.0,9.0,7.0,877.0,38.0,35.0,16.0,23.0,9.0
51,1107,2356.0,1186.0,24.0,20.0,14.0,52.0,182.0,161.0,102.0,77.0,77.0,66.0,71.0,27.0,13.0,7.0,6.0,1172.0,66.0,39.0,18.0,21.0,19.0
52,1104,3403.0,1711.0,82.0,42.0,79.0,143.0,242.0,86.0,103.0,122.0,73.0,76.0,75.0,67.0,37.0,32.0,4.0,1692.0,45.0,65.0,89.0,76.0,48.0
53,1206,1612.0,674.0,35.0,7.0,7.0,27.0,26.0,38.0,31.0,41.0,64.0,43.0,36.0,18.0,7.0,11.0,7.0,938.0,39.0,65.0,44.0,54.0,23.0
54,1204,2099.0,828.0,38.0,15.0,0.0,40.0,38.0,23.0,48.0,63.0,112.0,64.0,6.0,40.0,6.0,20.0,5.0,1270.0,102.0,55.0,102.0,91.0,40.0
