,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
175,1804,50.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,34.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
176,2012,74.0,35.0,0.0,0.0,0.0,3.0,8.0,0.0,10.0,0.0,3.0,0.0,39.0,2.0,0.0,0.0,0.0,12.0,0.0,15.0,0.0,4.0,0.0
177,2014,74.0,54.0,0.0,0.0,6.0,11.0,3.0,13.0,8.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0
178,1820,202.0,92.0,0.0,0.0,9.0,21.0,4.0,14.0,11.0,10.0,0.0,0.0,109.0,0.0,1.0,2.0,12.0,21.0,2.0,33.0,3.0,17.0,0.0
179,2018,61.0,28.0,0.0,0.0,0.0,3.0,6.0,0.0,8.0,0.0,2.0,0.0,32.0,2.0,0.0,0.0,0.0,10.0,0.0,12.0,0.0,3.0,0.0
180,2001,71.0,39.0,0.0,5.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,6.0,0.0,0.0
181,1207,22.0,14.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
182,1411,29.0,20.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
183,1907,147.0,72.0,0.0,0.0,26.0,3.0,24.0,0.0,0.0,16.0,0.0,0.0,75.0,0.0,0.0,8.0,5.0,11.0,30.0,13.0,6.0,0.0,0.0
184,1803,12.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,1408,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1909,59.0,29.0,3.0,0.0,2.0,1.0,8.0,6.0,2.0,0.0,1.0,2.0,30.0,0.0,0.0,2.0,4.0,7.0,3.0,3.0,1.0,1.0,0.0
187,1208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0207,61.0,42.0,0.0,2.0,0.0,0.0,34.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0
189,0202,583.0,319.0,22.0,11.0,3.0,39.0,17.0,55.0,83.0,17.0,0.0,6.0,264.0,0.0,6.0,8.0,35.0,23.0,71.0,57.0,12.0,6.0,0.0
190,0306,1358.0,686.0,36.0,33.0,48.0,100.0,121.0,60.0,49.0,22.0,41.0,16.0,674.0,13.0,28.0,98.0,167.0,107.0,60.0,47.0,35.0,26.0,44.0
191,0302,55.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,44.0,0.0,9.0,16.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0
192,2103,673.0,330.0,1.0,118.0,120.0,36.0,9.0,2.0,21.0,0.0,3.0,5.0,343.0,4.0,146.0,86.0,49.0,9.0,17.0,6.0,0.0,21.0,0.0
193,2114,205.0,94.0,2.0,11.0,17.0,19.0,11.0,11.0,0.0,6.0,0.0,0.0,112.0,1.0,17.0,6.0,9.0,15.0,14.0,4.0,11.0,7.0,9.0
194,2201,1919.0,845.0,123.0,223.0,202.0,113.0,27.0,38.0,29.0,10.0,6.0,12.0,1074.0,241.0,314.0,242.0,89.0,42.0,45.0,42.0,11.0,0.0,0.0
195,2205,480.0,231.0,18.0,18.0,54.0,33.0,24.0,41.0,12.0,12.0,0.0,0.0,248.0,1.0,33.0,31.0,24.0,26.0,47.0,37.0,14.0,0.0,0.0
196,2212,395.0,176.0,11.0,7.0,19.0,17.0,34.0,21.0,15.0,23.0,3.0,0.0,220.0,0.0,12.0,25.0,9.0,43.0,21.0,38.0,30.0,3.0,0.0
197,2211,221.0,105.0,0.0,2.0,7.0,4.0,18.0,21.0,8.0,4.0,4.0,0.0,116.0,0.0,8.0,23.0,7.0,6.0,22.0,14.0,16.0,0.0,0.0
198,2208,460.0,228.0,2.0,9.0,32.0,31.0,58.0,17.0,18.0,17.0,24.0,0.0,232.0,2.0,22.0,22.0,35.0,45.0,21.0,11.0,9.0,27.0,0.0
199,2116,626.0,291.0,61.0,127.0,45.0,10.0,23.0,4.0,7.0,5.0,7.0,1.0,335.0,48.0,199.0,11.0,50.0,5.0,0.0,5.0,6.0,8.0,1.0
200,2112,423.0,194.0,0.0,17.0,36.0,41.0,21.0,25.0,0.0,14.0,0.0,0.0,230.0,0.0,25.0,14.0,19.0,34.0,32.0,10.0,25.0,17.0,20.0
201,0510,1138.0,561.0,161.0,178.0,77.0,33.0,27.0,14.0,21.0,31.0,0.0,0.0,577.0,226.0,195.0,64.0,19.0,7.0,14.0,39.0,11.0,0.0,3.0
202,2102,1028.0,436.0,160.0,176.0,43.0,18.0,15.0,10.0,5.0,1.0,0.0,0.0,592.0,268.0,212.0,80.0,19.0,5.0,0.0,2.0,1.0,0.0,0.0
203,1310,597.0,290.0,20.0,43.0,45.0,38.0,31.0,25.0,22.0,12.0,21.0,0.0,307.0,4.0,30.0,34.0,60.0,39.0,31.0,38.0,23.0,0.0,7.0
204,1303,644.0,343.0,50.0,102.0,105.0,35.0,24.0,2.0,3.0,2.0,6.0,0.0,300.0,9.0,66.0,73.0,76.0,27.0,19.0,9.0,4.0,0.0,1.0
205,1610,112.0,54.0,0.0,2.0,5.0,1.0,13.0,0.0,7.0,5.0,10.0,0.0,56.0,0.0,0.0,13.0,6.0,13.0,4.0,4.0,5.0,1.0,0.0
206,1713,229.0,92.0,0.0,1.0,7.0,35.0,8.0,5.0,4.0,18.0,0.0,0.0,137.0,0.0,4.0,26.0,19.0,5.0,3.0,19.0,25.0,7.0,0.0
